product_id,product_name,department,cost_price,current_base_price,avg_price_elasticity,price_sensitivity_category,recommended_optimal_price,avg_weekly_demand,predicted_demand_at_optimal,expected_weekly_profit_at_optimal,current_weekly_profit,profit_improvement_pct
33627,Mix Popcorn,snacks,3.13,5.31,-4.04,High,4.16,299.0,801,825.03,628.73,31.2
18193,Tangerine Lime Drink Tabs,missing,6.41,11.51,-5.0,High,8.01,87.5,536,857.6,429.6,99.6
47100,Fire Roasted Diced Tomatoes With Seasonings,canned goods,2.01,3.93,-3.075,High,2.98,116.8,273,264.81,218.76,21.1
48184,Soy Curls,snacks,4.28,6.99,0.0,Low,inf,329.5,0,,870.92,
22198,"4X Ultra Concentrated Natural Laundry Detergent, Free & Clear",household,2.09,3.56,-2.43,High,3.55,274.4,276,402.96,386.88,4.2
31574,Chocolate Deluxe Bars,snacks,1.77,3.67,-2.465,High,2.98,310.2,518,626.78,571.82,9.6
45363,Stewed Mexican Recipe Sliced Tomatoes,canned goods,0.78,1.23,0.0,Low,inf,325.0,0,,140.0,
14132,Chili Con Carne,frozen,8.23,13.39,0.0,Low,inf,187.9,0,,925.09,
26904,Fruit Squish'ems Apple Strawberry,canned goods,2.18,3.4,-2.43,High,3.7,57.2,46,69.92,67.85,3.1
39418,Sparkling Spruce Timeless Joy Holiday Candle,missing,5.4,9.08,0.0,Low,inf,309.2,0,,1098.86,
28086,Pineapple Orange Strawberry 100% Juice,beverages,1.02,1.78,0.0,Low,inf,333.6,0,,246.37,
200,Radiant Pantiliners Regular Wrapped Unscented,personal care,6.24,11.7,-1.105,Medium,65.67,254.8,37,2198.91,1343.61,63.7
36124,Culture Club Cabernet Grape Kombucha,beverages,8.11,12.74,-1.085,Medium,103.52,42.4,4,381.64,189.19,101.7
21936,Vegetarian Refried Beans,canned goods,1.15,1.85,0.0,Low,inf,289.0,0,,198.95,
15135,"Wraps, Multi-Grain",bakery,1.23,2.68,0.0,Low,inf,330.4,0,,468.61,
44563,Pumpkin Corn Tortilla Chips,snacks,1.77,3.88,-0.515,Low,1.8585,315.0,460,40.71,642.56,-93.7
38122,24oz Heat & Eat Container,household,2.65,5.04,-1.65,High,6.73,296.3,183,746.64,678.7,10.0
28397,Blueberry Cobbler,breakfast,4.44,7.25,-0.54,Low,4.662000000000001,319.4,405,89.91,857.48,-89.5
34375,Salt Free Garam Masala Blend,pantry,4.09,6.32,-3.97,High,5.47,65.4,116,160.08,141.08,13.5
32359,Water Softening Pellets,household,2.36,4.91,-1.33,Medium,9.51,253.8,105,750.75,626.48,19.8
18238,Condensed Cream Of Onion Soup,canned goods,1.96,3.45,-3.485,High,2.75,244.7,539,425.81,349.63,21.8
29286,Vegetarian DHA Softgels,personal care,1.78,3.39,-0.31,Low,1.8690000000000002,220.1,264,23.5,338.05,-93.0
38841,"Slow Cooker Sauces, Apple Bourbon Pulled Pork",pantry,3.17,4.92,0.0,Low,inf,318.8,0,,527.63,
24179,"Real Vegetable Chips, Sweets & Beets",snacks,3.25,5.25,0.0,Low,inf,312.4,0,,609.58,
34572,Forest Body Wash,personal care,4.05,6.56,-3.92,High,5.44,193.9,404,561.56,460.78,21.9
26966,Chocolate Covered Ring Jells,international,5.36,9.85,0.0,Low,inf,299.4,0,,1320.99,
148,Nectarines,produce,1.49,2.8,0.0,Low,inf,320.8,0,,412.01,
44666,Original Nooks & Crannies Cinnamon Raisin English Muffins,bakery,2.44,4.84,-1.97,High,4.96,311.1,296,745.92,719.6,3.7
8640,Invisible Solid Spring Breeze Antiperspirant/Deodorant 2.6 oz AP/DO & Body Spray,personal care,3.65,7.92,0.0,Low,inf,326.2,0,,1363.56,
32056,Organic Super Tampons Wth Applicator,personal care,1.53,2.46,0.0,Low,inf,339.4,0,,306.24,
43237,Freeze Off Wart Removal System,personal care,4.95,8.08,-2.09,High,9.49,165.6,118,535.72,496.51,7.9
41511,Plastic 16 oz. Cups,household,2.41,3.71,0.0,Low,inf,275.3,0,,345.72,
37343,"Kefir, Nonfat, with FOS, Organic, Vanilla",dairy eggs,1.72,2.65,0.0,Low,inf,345.3,0,,311.33,
35594,Organic Hemp Plus Granola Cereal,breakfast,6.45,11.49,-0.185,Low,6.772500000000001,238.0,262,84.5,1161.99,-92.7
19923,Blueberry B Monster,beverages,8.78,14.54,-0.23,Low,9.219,332.4,369,161.99,1858.53,-91.3
2211,Triple Enzyme Formula Spray Laundry Stain Remover,household,6.44,10.08,-0.735,Low,6.7620000000000005,235.2,315,101.43,820.79,-87.6
31493,Soft Toothbrush Powered By Yogurt Cups,personal care,3.13,5.05,0.0,Low,inf,312.4,0,,585.31,
3932,Wasabi,international,1.49,2.98,-3.35,High,2.12,154.5,483,304.29,224.54,35.5
37161,Blueberry Acai Yogurt,dairy eggs,4.77,8.84,-3.3,High,6.84,108.4,252,521.64,427.34,22.1
7095,Vanilla Bean Tea Bags,beverages,3.54,7.44,-1.225,Medium,19.27,160.7,50,786.5,605.79,29.8
3594,Milk Whole,dairy eggs,2.06,3.22,-3.66,High,2.83,337.5,541,416.57,377.23,10.4
41233,Riced Cauliflower,missing,3.97,6.95,0.0,Low,inf,280.5,0,,813.99,
16913,"Licorice, Soft",snacks,1.37,2.76,-1.08,Medium,18.49,341.6,43,736.16,462.78,59.1
39365,French Vanilla Syrup,pantry,6.48,11.09,0.0,Low,inf,318.2,0,,1415.56,
10982,Organic Nectarine & Plum Conserve,produce,1.82,3.18,-0.51,Low,1.9110000000000003,255.6,331,30.12,330.72,-90.9
35976,Sweet Cream Whipped Butter Salted,dairy eggs,4.5,8.63,-2.15,High,8.41,277.0,292,1141.72,1105.53,3.3
39370,Honey Peanut Butter Hot Oatmeal Bowl,breakfast,2.42,5.12,0.0,Low,inf,57.4,0,,149.54,
31235,Velveeta Reduced Fat 2% Milk Shells Cheese,dry goods pasta,4.21,7.2,-4.13,High,5.56,325.2,945,1275.75,937.99,36.0
27873,Gourmet Spicy Barbecue Sauce,pantry,4.14,7.47,-0.295,Low,4.3469999999999995,323.0,378,78.25,1055.14,-92.6
32901,Organic Half & Half Guayusa Lemonade Tea,beverages,2.42,4.0,-2.74,High,3.81,275.2,314,436.46,423.84,3.0
29869,New Zealand Artesian Water,beverages,8.08,14.59,0.0,Low,inf,164.5,0,,1039.87,
5046,Vanilla Chocolate Peanut Butter Ice Cream Bars Multi-Pack,frozen,7.63,12.3,-2.99,High,11.46,184.6,228,873.24,817.79,6.8
2323,Rich Chocolate Flavored Milk Mix,beverages,7.95,14.18,0.0,Low,inf,139.6,0,,838.77,
42970,Lite Honey Mustard Dressing Topping & Spread,pantry,6.16,10.95,0.0,Low,inf,340.5,0,,1587.52,
2768,Lip Care Stick,personal care,4.99,7.98,0.0,Low,inf,193.6,0,,568.76,
48727,Garlic & Herb Pasta Sauce,dry goods pasta,5.95,11.22,0.0,Low,inf,196.4,0,,1013.71,
20443,"Pita Bites, Original Sea Salt",snacks,1.51,3.16,-1.21,Medium,8.7,330.2,96,690.24,528.22,30.7
45355,Deep Clean Cream Cleanser,personal care,1.8,3.96,-1.47,Medium,5.63,195.6,116,444.28,410.0,8.4
31966,Angel Hair Pasta With Herbs,dry goods pasta,1.47,2.45,0.0,Low,inf,152.6,0,,144.54,
41380,Country Style Pork Ribs,meat seafood,6.22,10.83,-2.31,High,10.97,325.3,315,1496.25,1441.77,3.8
43281,Organic Lemon Perfume Oil,household,3.48,5.89,-2.35,High,6.06,167.4,156,402.48,392.42,2.6
15171,Reclosable Sandwich Extra Large Bags,household,2.32,4.71,-1.215,Medium,13.11,188.9,54,582.66,442.89,31.6
9721,Steamfresh Protein Italian Style,frozen,6.18,12.94,0.0,Low,inf,307.9,0,,2029.32,
28158,Farmer Cheese,dairy eggs,2.52,5.57,-0.605,Low,2.6460000000000004,301.9,473,59.6,902.16,-93.4
21927,Organic Boneless Skinless Chicken Breast,meat seafood,5.15,9.9,-0.2,Low,5.407500000000001,313.2,353,90.9,1454.2,-93.7
16064,"Bread Crumbs, Panko, Seasoned Italian Style",pantry,4.22,7.43,-2.29,High,7.49,97.4,95,310.65,301.22,3.1
34864,Pet Waste Bags,pets,1.8,3.41,-0.21,Low,1.8900000000000001,82.0,92,8.28,127.11,-93.5
48383,Whole Wheat Flour,pantry,5.39,10.02,0.0,Low,inf,328.4,0,,1491.52,
20636,Pure Sport Body Wash,personal care,1.73,2.75,0.0,Low,inf,275.4,0,,270.16,
6180,Fit Popcorn Extra Virgin Olive Oil,snacks,5.14,9.9,0.0,Low,inf,346.5,0,,1606.21,
42636,Organic Microwave Popcorn No Salt or Oil,snacks,4.58,8.29,-5.0,High,5.72,88.8,567,646.38,319.17,102.5
45816,Fresh Collection Fiji Antiperpirant & Deodorant,personal care,2.42,3.99,0.0,Low,inf,65.8,0,,100.35,
31873,Unscented Regular Pantiliners,personal care,1.09,2.06,0.0,Low,inf,342.2,0,,325.24,
7991,Smoth & Creamy Low Fat Vanilla Frozen Yogurt,frozen,7.35,12.79,-3.09,High,10.87,198.2,327,1151.04,1043.86,10.3
38531,Organic Sweet Potato Multigrain Tortilla Chips,snacks,4.86,7.8,-5.0,High,6.08,217.3,755,921.1,612.63,50.4
6577,Sense & Spray Str Clean Linen Scent Air Freshener,household,5.94,9.29,-2.335,High,10.39,69.3,53,235.85,225.56,4.6
31250,Apples Honeycrisp,missing,4.66,9.71,0.0,Low,inf,306.4,0,,1518.86,
10521,Carb Balance Small Fajita Whole Wheat Tortillas,bakery,1.26,1.98,0.0,Low,inf,73.6,0,,49.92,
44203,Crystal Pacifier,babies,3.06,5.58,-1.82,High,6.79,315.9,221,824.33,773.71,6.5
6949,Creamy Broth with Mackerel & Vegetables Cat Food,pets,1.59,3.16,-2.035,High,3.13,265.8,270,415.8,409.75,1.5
4829,Life Wheat + Protein Bread,missing,5.76,10.63,0.0,Low,inf,301.8,0,,1442.72,
36362,"Baked Crackers, Cheddar Cheese",breakfast,5.32,8.23,0.0,Low,inf,322.9,0,,907.73,
4470,Cherry Liquid Drink Mix,beverages,3.27,5.97,-0.9,Medium,3.4335,224.5,369,60.33,591.94,-89.8
11800,Italian Castelvetrano Whole Green Olives,pantry,1.36,2.64,-3.84,High,1.84,34.7,138,66.24,43.48,52.3
315,Creamy Italian Dressing Marinade,pantry,2.95,5.11,-3.05,High,4.39,43.4,68,97.92,89.16,9.8
20677,Homestyle Creamy Chicken & Herb Dumplings Soup,canned goods,1.15,2.3,0.0,Low,inf,319.5,0,,359.37,
18393,Mango Baby Breakfast Stage 2,babies,4.33,9.3,0.0,Low,inf,315.5,0,,1532.47,
31317,Mandarin Oranges in Light Syrup Fruit Cups,canned goods,1.69,3.55,0.0,Low,inf,195.3,0,,354.26,
19892,Classic Basil Pesto Sauce,dry goods pasta,5.17,10.87,0.0,Low,inf,323.4,0,,1801.18,
18628,Organic Volcano Rice Ready To Eat Bowl,dry goods pasta,3.23,6.72,0.0,Low,inf,341.6,0,,1168.57,
5583,Kentucky Whisky,alcohol,1.53,3.2,0.0,Low,inf,310.1,0,,505.55,
34747,The Hulk Banana Coconut Spirulina Paleo Muffins,bakery,3.55,6.14,0.0,Low,inf,289.3,0,,728.06,
35087,Blemish Clearing Serum,personal care,4.67,9.61,-3.48,High,6.55,322.5,1224,2301.12,1558.23,47.7
18766,Canola Vegetable Oil Blend,pantry,3.95,7.61,-4.075,High,5.23,318.6,1469,1880.32,1140.23,64.9
32343,Bianco D'oro Italian Dry Salame,deli,6.11,9.71,-3.59,High,8.47,296.8,484,1142.24,1032.78,10.6
38625,Tomato Sauce With Basil,dry goods pasta,3.78,6.94,-0.09,Low,inf,265.6,0,,815.97,
7599,Sensor 2 Plus Disposable Razors,personal care,4.22,7.23,0.0,Low,inf,262.8,0,,755.12,
4730,Original Toothbrush Soft Right,personal care,3.04,6.28,0.0,Low,inf,171.2,0,,535.96,
29960,"Acini di Pepe, No. 78",dry goods pasta,1.1,2.25,0.0,Low,inf,348.1,0,,391.76,
7515,Spinach And Ricotta Ravioli,dairy eggs,1.41,3.08,0.0,Low,inf,230.4,0,,371.68,
42849,Ice Cream Cones,snacks,1.33,2.74,-0.55,Low,1.3965,202.5,293,19.48,276.88,-93.0
15556,Original Sliced Grand Cru Cheese,dairy eggs,4.23,8.36,0.0,Low,inf,309.9,0,,1241.53,
38094,Sriracha Ketchup,pantry,2.49,5.14,0.0,Low,inf,210.8,0,,546.59,
21957,Bittersweet Sea Salt Chocolate Bar,snacks,2.95,6.31,-5.0,High,3.69,263.1,3847,2846.78,864.57,229.3
42796,Broccoli Pot Pie With Cheddar Cheese Sauce,frozen,6.59,13.89,0.0,Low,inf,315.5,0,,2237.77,
42805,Sliced Jalapenos,pantry,2.43,4.49,0.0,Low,inf,195.1,0,,393.56,
20571,Cashew Butter + Bourbon Vanilla Chocolate Bar,snacks,2.74,5.58,0.0,Low,inf,261.1,0,,716.73,
1591,Redness Relief Cooling Eye Drops,personal care,5.0,9.56,-5.0,High,6.25,64.8,542,677.5,284.73,137.9
22272,Gluten Free Matzo Ball & Soup Mix,international,2.36,4.29,-1.435,Medium,7.79,304.8,129,700.47,572.09,22.4
1031,Cold Remedy Orange Cream Ultra RapidMelt,personal care,1.63,2.77,-3.67,High,2.24,284.1,619,377.59,313.32,20.5
24466,Moroccan Red Clay and Argan Stem Cell Pore Minimizing Facial Scrub,personal care,2.24,4.9,0.0,Low,inf,283.4,0,,735.99,
