product_id,product_name,aisle,department,base_price,cost_price,gross_margin_pct,shelf_life_days,is_perishable,store_id,created_date
33627,Mix Popcorn,chips pretzels,snacks,5.31,3.13,41.1,120,0,1,2024-01-01
18193,Tangerine Lime Drink Tabs,missing,missing,11.51,6.41,44.3,180,0,1,2024-01-01
47100,Fire Roasted Diced Tomatoes With Seasonings,canned jarred vegetables,canned goods,3.93,2.01,48.9,730,0,1,2024-01-01
48184,Soy Curls,chips pretzels,snacks,6.99,4.28,38.8,120,0,1,2024-01-01
22198,"4X Ultra Concentrated Natural Laundry Detergent, Free & Clear",laundry,household,3.56,2.09,41.3,180,0,1,2024-01-01
31574,Chocolate Deluxe Bars,energy granola bars,snacks,3.67,1.77,51.8,120,0,1,2024-01-01
45363,Stewed Mexican Recipe Sliced Tomatoes,canned jarred vegetables,canned goods,1.23,0.78,36.6,730,0,1,2024-01-01
14132,Chili Con Carne,frozen meals,frozen,13.39,8.23,38.5,365,0,1,2024-01-01
26904,Fruit Squish'ems Apple Strawberry,canned fruit applesauce,canned goods,3.4,2.18,35.9,730,0,1,2024-01-01
39418,Sparkling Spruce Timeless Joy Holiday Candle,missing,missing,9.08,5.4,40.5,180,0,1,2024-01-01
28086,Pineapple Orange Strawberry 100% Juice,refrigerated,beverages,1.78,1.02,42.7,180,0,1,2024-01-01
200,Radiant Pantiliners Regular Wrapped Unscented,feminine care,personal care,11.7,6.24,46.7,180,0,1,2024-01-01
36124,Culture Club Cabernet Grape Kombucha,refrigerated,beverages,12.74,8.11,36.3,180,0,1,2024-01-01
21936,Vegetarian Refried Beans,canned meals beans,canned goods,1.85,1.15,37.8,730,0,1,2024-01-01
15135,"Wraps, Multi-Grain",tortillas flat bread,bakery,2.68,1.23,54.1,5,1,1,2024-01-01
44563,Pumpkin Corn Tortilla Chips,chips pretzels,snacks,3.88,1.77,54.4,120,0,1,2024-01-01
38122,24oz Heat & Eat Container,food storage,household,5.04,2.65,47.4,180,0,1,2024-01-01
28397,Blueberry Cobbler,breakfast bars pastries,breakfast,7.25,4.44,38.8,180,0,1,2024-01-01
34375,Salt Free Garam Masala Blend,spices seasonings,pantry,6.32,4.09,35.3,365,0,1,2024-01-01
32359,Water Softening Pellets,more household,household,4.91,2.36,51.9,180,0,1,2024-01-01
18238,Condensed Cream Of Onion Soup,soup broth bouillon,canned goods,3.45,1.96,43.2,730,0,1,2024-01-01
29286,Vegetarian DHA Softgels,vitamins supplements,personal care,3.39,1.78,47.5,180,0,1,2024-01-01
38841,"Slow Cooker Sauces, Apple Bourbon Pulled Pork",marinades meat preparation,pantry,4.92,3.17,35.6,365,0,1,2024-01-01
24179,"Real Vegetable Chips, Sweets & Beets",chips pretzels,snacks,5.25,3.25,38.1,120,0,1,2024-01-01
34572,Forest Body Wash,soap,personal care,6.56,4.05,38.3,180,0,1,2024-01-01
