product_id,product_name,department,cost_price,current_price,price_elasticity,price_sensitivity,stock_urgency,recommended_price,price_change_pct,predicted_weekly_demand,predicted_weekly_revenue,predicted_weekly_profit,current_weekly_profit,profit_uplift,profit_uplift_pct,optimization_reason,optimization_date
33627,Mix Popcorn,snacks,3.13,5.31,-4.04,High,LOW,4.07,-23.4,875.6,3563.58,823.04,628.73,194.31,30.9,"Elasticity -4.04, Stock:LOW",2024-06-28
18193,Tangerine Lime Drink Tabs,missing,6.41,11.51,-5.0,High,LOW,8.49,-26.2,400.7,3402.15,833.51,429.6,403.91,94.0,"Elasticity -5.0, Stock:LOW",2024-06-28
47100,Fire Roasted Diced Tomatoes With Seasonings,canned goods,2.01,3.93,-3.075,High,NORMAL,2.74,-30.3,354.1,970.21,258.49,218.76,39.73,18.2,"Elasticity -3.075, Stock:NORMAL",2024-06-28
48184,Soy Curls,snacks,4.28,6.99,-1.0,Low,NORMAL,10.48,49.9,219.8,2303.21,1362.58,870.92,491.66,56.5,"Elasticity -1.0, Stock:NORMAL",2024-06-28
22198,"4X Ultra Concentrated Natural Laundry Detergent, Free & Clear",household,2.09,3.56,-2.43,High,LOW,3.77,5.9,238.7,899.99,401.06,386.88,14.18,3.7,"Elasticity -2.43, Stock:LOW",2024-06-28
31574,Chocolate Deluxe Bars,snacks,1.77,3.67,-2.465,High,CRITICAL,3.38,-7.9,380.0,1284.34,611.77,571.82,39.95,7.0,"Elasticity -2.465, Stock:CRITICAL",2024-06-28
45363,Stewed Mexican Recipe Sliced Tomatoes,canned goods,0.78,1.23,-1.0,Low,LOW,1.84,49.6,217.3,399.75,230.29,140.0,90.29,64.5,"Elasticity -1.0, Stock:LOW",2024-06-28
14132,Chili Con Carne,frozen,8.23,13.39,-1.0,Low,LOW,20.08,50.0,125.3,2515.98,1484.78,925.09,559.69,60.5,"Elasticity -1.0, Stock:LOW",2024-06-28
26904,Fruit Squish'ems Apple Strawberry,canned goods,2.18,3.4,-2.43,High,LOW,3.69,8.5,46.9,173.0,70.79,67.85,2.94,4.3,"Elasticity -2.43, Stock:LOW",2024-06-28
39418,Sparkling Spruce Timeless Joy Holiday Candle,missing,5.4,9.08,-1.0,Low,CRITICAL,14.98,65.0,187.4,2807.54,1795.47,1098.86,696.61,63.4,"Elasticity -1.0, Stock:CRITICAL",2024-06-28
28086,Pineapple Orange Strawberry 100% Juice,beverages,1.02,1.78,-1.0,Low,CRITICAL,2.94,65.2,202.0,593.81,387.79,246.37,141.42,57.4,"Elasticity -1.0, Stock:CRITICAL",2024-06-28
200,Radiant Pantiliners Regular Wrapped Unscented,personal care,6.24,11.7,-1.105,Medium,LOW,17.55,50.0,162.8,2856.9,1841.12,1343.61,497.51,37.0,"Elasticity -1.105, Stock:LOW",2024-06-28
36124,Culture Club Cabernet Grape Kombucha,beverages,8.11,12.74,-1.085,Medium,CRITICAL,21.02,65.0,24.6,517.67,317.94,189.19,128.75,68.1,"Elasticity -1.085, Stock:CRITICAL",2024-06-28
21936,Vegetarian Refried Beans,canned goods,1.15,1.85,-1.0,Low,NORMAL,2.78,50.3,192.3,534.65,313.48,198.95,114.53,57.6,"Elasticity -1.0, Stock:NORMAL",2024-06-28
15135,"Wraps, Multi-Grain",bakery,1.23,2.68,-1.0,Low,CRITICAL,4.42,64.9,200.3,885.47,639.06,468.61,170.45,36.4,"Elasticity -1.0, Stock:CRITICAL",2024-06-28
44563,Pumpkin Corn Tortilla Chips,snacks,1.77,3.88,-0.515,Low,NORMAL,5.82,50.0,255.6,1487.81,1035.33,642.56,392.77,61.1,"Elasticity -0.515, Stock:NORMAL",2024-06-28
38122,24oz Heat & Eat Container,household,2.65,5.04,-1.65,High,NORMAL,6.76,34.1,182.5,1233.89,750.19,678.7,71.49,10.5,"Elasticity -1.65, Stock:NORMAL",2024-06-28
28397,Blueberry Cobbler,breakfast,4.44,7.25,-0.54,Low,CRITICAL,11.96,65.0,243.7,2915.24,1832.99,857.48,975.51,113.8,"Elasticity -0.54, Stock:CRITICAL",2024-06-28
34375,Salt Free Garam Masala Blend,pantry,4.09,6.32,-3.97,High,CRITICAL,5.67,-10.3,100.6,570.54,158.99,141.08,17.91,12.7,"Elasticity -3.97, Stock:CRITICAL",2024-06-28
32359,Water Softening Pellets,household,2.36,4.91,-1.33,Medium,LOW,7.36,49.9,148.1,1090.34,740.72,626.48,114.24,18.2,"Elasticity -1.33, Stock:LOW",2024-06-28
18238,Condensed Cream Of Onion Soup,canned goods,1.96,3.45,-3.485,High,NORMAL,2.58,-25.2,673.7,1738.04,417.67,349.63,68.04,19.5,"Elasticity -3.485, Stock:NORMAL",2024-06-28
29286,Vegetarian DHA Softgels,personal care,1.78,3.39,-0.31,Low,CRITICAL,5.59,64.9,188.5,1053.65,718.14,338.05,380.09,112.4,"Elasticity -0.31, Stock:CRITICAL",2024-06-28
38841,"Slow Cooker Sauces, Apple Bourbon Pulled Pork",pantry,3.17,4.92,-1.0,Low,CRITICAL,8.12,65.0,193.2,1568.5,956.16,527.63,428.53,81.2,"Elasticity -1.0, Stock:CRITICAL",2024-06-28
24179,"Real Vegetable Chips, Sweets & Beets",snacks,3.25,5.25,-1.0,Low,LOW,7.88,50.1,208.1,1640.1,963.66,609.58,354.08,58.1,"Elasticity -1.0, Stock:LOW",2024-06-28
34572,Forest Body Wash,personal care,4.05,6.56,-3.92,High,LOW,5.18,-21.0,489.4,2535.12,553.03,460.78,92.25,20.0,"Elasticity -3.92, Stock:LOW",2024-06-28
26966,Chocolate Covered Ring Jells,international,5.36,9.85,-1.0,Low,NORMAL,14.77,49.9,199.7,2949.09,1878.87,1320.99,557.88,42.2,"Elasticity -1.0, Stock:NORMAL",2024-06-28
148,Nectarines,produce,1.49,2.8,-1.0,Low,LOW,4.2,50.0,213.9,898.24,579.58,412.01,167.57,40.7,"Elasticity -1.0, Stock:LOW",2024-06-28
44666,Original Nooks & Crannies Cinnamon Raisin English Muffins,bakery,2.44,4.84,-1.97,High,NORMAL,4.91,1.4,302.4,1484.9,746.98,719.6,27.38,3.8,"Elasticity -1.97, Stock:NORMAL",2024-06-28
8640,Invisible Solid Spring Breeze Antiperspirant/Deodorant 2.6 oz AP/DO & Body Spray,personal care,3.65,7.92,-1.0,Low,LOW,11.88,50.0,217.5,2583.5,1789.75,1363.56,426.19,31.3,"Elasticity -1.0, Stock:LOW",2024-06-28
32056,Organic Super Tampons Wth Applicator,personal care,1.53,2.46,-1.0,Low,CRITICAL,4.06,65.0,205.6,834.92,520.29,306.24,214.05,69.9,"Elasticity -1.0, Stock:CRITICAL",2024-06-28
43237,Freeze Off Wart Removal System,personal care,4.95,8.08,-2.09,High,CRITICAL,10.79,33.5,90.5,976.24,528.38,496.51,31.87,6.4,"Elasticity -2.09, Stock:CRITICAL",2024-06-28
41511,Plastic 16 oz. Cups,household,2.41,3.71,-1.0,Low,CRITICAL,6.12,65.0,166.9,1021.36,619.16,345.72,273.44,79.1,"Elasticity -1.0, Stock:CRITICAL",2024-06-28
37343,"Kefir, Nonfat, with FOS, Organic, Vanilla",dairy eggs,1.72,2.65,-1.0,Low,CRITICAL,4.37,64.9,209.4,915.04,554.89,311.33,243.56,78.2,"Elasticity -1.0, Stock:CRITICAL",2024-06-28
35594,Organic Hemp Plus Granola Cereal,breakfast,6.45,11.49,-0.185,Low,CRITICAL,18.96,65.0,216.9,4113.15,2713.9,1161.99,1551.91,133.6,"Elasticity -0.185, Stock:CRITICAL",2024-06-28
19923,Blueberry B Monster,beverages,8.78,14.54,-0.23,Low,LOW,21.81,50.0,302.8,6604.13,3945.52,1858.53,2086.99,112.3,"Elasticity -0.23, Stock:LOW",2024-06-28
2211,Triple Enzyme Formula Spray Laundry Stain Remover,household,6.44,10.08,-0.735,Low,LOW,15.12,50.0,174.6,2639.75,1515.41,820.79,694.62,84.6,"Elasticity -0.735, Stock:LOW",2024-06-28
31493,Soft Toothbrush Powered By Yogurt Cups,personal care,3.13,5.05,-1.0,Low,NORMAL,7.57,49.9,208.4,1577.62,925.31,585.31,340.0,58.1,"Elasticity -1.0, Stock:NORMAL",2024-06-28
3932,Wasabi,international,1.49,2.98,-3.35,High,LOW,2.05,-31.2,541.0,1109.0,302.95,224.54,78.41,34.9,"Elasticity -3.35, Stock:LOW",2024-06-28
37161,Blueberry Acai Yogurt,dairy eggs,4.77,8.84,-3.3,High,HIGH,6.38,-27.8,318.0,2028.78,511.96,427.34,84.62,19.8,"Elasticity -3.3, Stock:HIGH",2024-06-28
7095,Vanilla Bean Tea Bags,beverages,3.54,7.44,-1.225,Medium,CRITICAL,12.28,65.1,87.0,1068.13,760.21,605.79,154.42,25.5,"Elasticity -1.225, Stock:CRITICAL",2024-06-28
3594,Milk Whole,dairy eggs,2.06,3.22,-3.66,High,LOW,3.05,-5.3,411.6,1255.42,407.5,377.23,30.27,8.0,"Elasticity -3.66, Stock:LOW",2024-06-28
41233,Riced Cauliflower,missing,3.97,6.95,-1.0,Low,LOW,10.42,49.9,187.1,1949.48,1206.73,813.99,392.74,48.2,"Elasticity -1.0, Stock:LOW",2024-06-28
16913,"Licorice, Soft",snacks,1.37,2.76,-1.08,Medium,CRITICAL,4.55,64.9,199.1,905.86,633.1,462.78,170.32,36.8,"Elasticity -1.08, Stock:CRITICAL",2024-06-28
39365,French Vanilla Syrup,pantry,6.48,11.09,-1.0,Low,LOW,16.63,50.0,212.2,3528.84,2153.8,1415.56,738.24,52.2,"Elasticity -1.0, Stock:LOW",2024-06-28
10982,Organic Nectarine & Plum Conserve,produce,1.82,3.18,-0.51,Low,CRITICAL,5.25,65.1,197.9,1039.15,678.91,330.72,348.19,105.3,"Elasticity -0.51, Stock:CRITICAL",2024-06-28
35976,Sweet Cream Whipped Butter Salted,dairy eggs,4.5,8.63,-2.15,High,LOW,8.84,2.4,263.0,2325.32,1141.62,1105.53,36.09,3.3,"Elasticity -2.15, Stock:LOW",2024-06-28
